,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
9496,4.0,712.006170329839,94713.24850812949,Military,237.335390109946,No,399.06921788719904,Yes,Female,After_16:00,0.532165001379326,0.8695945283398029,7.3198191751726,4.0524330455809805,2.6780240330845095,1.9507913850247902,7982.0,16.136911092326,364.086210766607,4718.8646004052,44656.543748033095,Maybe,159256.240665101,19.081043230562802,207.37057959173902,47.089636512100704,56575.4227887503,30.0,45_and_up,0.0,557.70342849219,6.0,Foot_or_bicycle,Public_Sector,380.237834027047,0.0,No
2480,9.0,353.255586056997,37825.570632395604,Education,117.751862018999,No,321.231188907166,Yes,Female,By_16:00,0.543956084409729,0.24702206044457897,6.72172886552289,1.9096914539113603,4.95190222281963,6.722816114779559,6930.0,43.805128429084995,385.877915811031,3984.0677206937203,45594.954445965195,No,103189.476726711,19.643775497878,233.31336492085498,43.3391813421622,13993.252870960401,100.0,45_and_up,3.0,580.800003330664,9.0,Motorcycle_or_truck,Student_or_Unemployed,402.773520420039,1.0,Yes
3972,2.0,279.339865003201,28879.280992344702,Healthcare,93.11328833440051,No,310.152090092981,Yes,Male,After_16:00,0.754866239614785,0.32662930618971603,7.931837339419871,2.8688318701460997,6.077205236069861,0.0764303654432297,7156.0,21.7067638412118,355.458160627104,3812.4372221840204,42567.6599625373,No,96194.3189890448,18.853598081721803,264.811968287542,41.629479499533794,8773.197752779599,80.0,Below_30,0.0,543.501935764741,8.0,Foot_or_bicycle,Services_or_Retail,385.148764382099,0.0,No
3608,10.0,1174.2082853987,202744.043916659,Financial,391.402761799568,Yes,517.9933912180239,No,Male,After_16:00,0.634665606543422,0.526815122691914,8.45184884732589,7.0838108565658295,0.227664052508771,6.28235007403418,,32.6338798739016,435.936348639415,6051.8066094590695,54835.4296903406,Yes,268317.153345549,20.8790887885323,68.2157679999905,59.9202782381326,153597.524706129,60.0,45_and_up,2.0,686.634099603383,10.0,Car,Public_Sector,484.984093412213,2.0,No
3512,4.0,1457.2662398321302,296809.23696947104,Financial,485.75541327737506,Yes,611.026102554182,No,Female,By_16:00,0.6560752058867371,0.7611013723071659,7.776600355282429,3.6393737886101003,9.865135345608,6.0835015703924,5245.0,82.6013142708689,237.990084049736,6586.24119364129,38216.0548384793,Yes,373352.89800255396,15.4269272393998,308.001755848591,54.272362031042604,236454.07694155103,60.0,30-45,2.0,466.36769396712305,9.0,Car,Services_or_Retail,382.14801613388397,0.0,No
9610,5.0,500.03292991543196,45915.75166350821,Social,166.67764330514402,No,275.476367154101,Yes,Male,After_16:00,0.16397451143711803,0.264057770604268,2.4808248784393103,6.530574082862589,8.22722335578874,1.41591214109212,7724.0,39.1330613289028,510.83430880947196,3776.4322891599604,60303.281913689905,No,75887.22886042121,22.6016439404188,265.58885663108,22.214721608907,27958.1144210619,70.0,30-45,3.0,808.0254487159441,10.0,Foot_or_bicycle,Industry_or_other,641.453868144019,0.0,No
3976,5.0,130.942826036198,20680.8001014183,Military,43.647608678732794,No,473.81290126657007,Yes,Male,By_16:00,0.769173620501533,0.289694654056802,2.66206940403208,5.20419035572559,6.46887119859457,1.26230927184224,5889.0,98.2816668925807,513.5897836052491,5765.3085798762,58008.59123167441,Maybe,,22.662519356974602,118.236238250116,34.9729895126075,1958.7613520505301,30.0,30-45,3.0,702.36403497405,9.0,Foot_or_bicycle,Student_or_Unemployed,385.503879205336,1.0,Yes
2522,1.0,371.330430319761,36929.4351132988,Healthcare,123.776810106587,No,298.355039861652,Yes,Female,By_16:00,0.626187931280583,0.967949149664491,9.57206245046109,8.94895349629223,4.32537638349459,3.38597031543031,7710.0,70.4461764311418,375.30752871807897,3734.1654560526795,44166.485965837404,No,89015.7298108477,19.3728554611363,259.562479513106,79.90982295013958,15454.4755302687,80.0,Below_30,1.0,564.782888326848,,Foot_or_bicycle,Student_or_Unemployed,394.341216988823,3.0,No
6068,8.0,441.28204864124297,54788.644891998796,Healthcare,147.094016213748,No,372.473648502353,Yes,Female,After_16:00,0.736480463761836,0.5982765851076689,6.44713009474799,0.610532516147941,7.08625921048224,3.8169051357545,8650.0,74.2728416109458,309.158094580446,4343.0526741844205,40940.1485003782,No,138736.618828654,17.5828920994371,240.151150944641,59.7057859413326,21793.743622104,80.0,Below_30,3.0,530.173321916169,11.0,Public_or_other,Industry_or_other,429.36734388706395,0.0,Yes
764,6.0,366.925634710927,55023.0846013162,Military,122.308544903642,No,449.871140603175,Yes,Female,After_16:00,0.804718003142625,0.0665868767537177,4.06501342309639,1.65854280348867,2.5937255239114196,2.6249145390465896,3671.0,65.1038371957839,438.81485009502296,5376.341106221789,52866.8968308072,Maybe,202384.043147601,20.947908012377397,99.44055768214079,53.053938108496396,15091.6887013499,30.0,30-45,4.0,659.787858123041,9.0,Motorcycle_or_truck,Industry_or_other,439.73475795440595,0.0,No
3481,6.0,163.80591815093598,36852.9427219966,Education,54.6019727169787,No,674.937935173486,No,Female,By_16:00,0.8756283246912059,0.444077478023246,0.17056437442079198,,0.37604691693559295,1.6117167589254702,8705.0,49.2908217944205,627.238237525293,8003.8558267854505,72279.4949211339,No,455541.21633624897,25.044724744450498,219.625199379233,11.048001633025699,3045.9773973026695,100.0,30-45,1.0,863.018881663182,9.0,Public_or_other,Public_Sector,462.021348746139,1.0,Yes
6598,4.0,1000.60765863408,95207.3991353334,Social,333.535886211359,No,285.448742013329,Yes,Male,After_16:00,0.79960377397947,0.7642303332686421,8.31298209028319,9.45485640782863,3.54508053511381,6.48977796081454,4583.0,95.8448403980583,502.585423808948,3859.6582677511897,60640.03675728731,No,81480.984316992,22.4184170674236,278.415983768781,31.7547381389886,111589.723277008,70.0,Below_30,1.0,819.5798912455791,11.0,Public_or_other,Student_or_Unemployed,677.4162712323861,1.0,No
